id;uuid;title;start_date;end_date;mime_type;length
1;39bcaaf4-3289-47b7-ab17-c234203ecf9e;Savings Account Investor;2021-02-05;2021-02-05;IMAGE_JPEG;24226
2;66bf0d77-5d9a-4f2d-a29f-cd5bb5b65ce5;Tools;2021-02-05;2021-02-04;AUDIO_MPEG;254
3;aefbd4e5-c937-4b81-a00f-0376250e3080;Devolved;2021-02-05;2021-02-05;AUDIO_MPEG;93260
4;21310750-cf24-4dbc-9e64-f76be96e7ae0;transmit;2021-02-05;2021-02-05;IMAGE_JPEG;28436
5;53e519eb-192d-4d8b-911a-ce3f75eeea89;open-source;2021-02-05;2021-02-05;IMAGE_GIF;89519
6;7cc33519-cccb-4f1d-bb5b-ce87dea3ad24;British Indian Ocean Territory (Chagos Archipelago);2021-02-04;2021-02-05;IMAGE_JPEG;71635
7;9f45af65-50ed-4b85-952f-9845414102a5;Glen;2021-02-05;2021-02-05;IMAGE_GIF;64510
8;f3c25f82-aa28-4f49-9eab-dcbd28532b76;transmit Seamless;2021-02-05;2021-02-05;AUDIO_MPEG;5729
9;0a25ddd7-23bf-4791-841c-25da45054713;portals Streamlined;2021-02-05;2021-02-05;IMAGE_SVG;34704
10;1db991d4-ba10-46c8-8a1f-d466a0970b0e;Coordinator New Jersey SAS;2021-02-05;2021-02-05;VIDEO_MP4;19598
