id;uuid;title;start_date;end_date;mime_type;width;height;length
1;7a255232-42ad-4b34-8038-98d069f0e721;Fantastic Concrete Chicken generating;2021-01-16;2021-01-16;IMAGE_SVG;85093;64210;44004
2;44b80cce-cf2f-4840-9ad6-274dbc5a2881;invoice Rubber withdrawal;2021-01-15;2021-01-16;IMAGE_SVG;14962;41923;19138
3;38645e7c-0fd9-4d30-ab90-cfcd1fe18b1d;Fresh;2021-01-15;2021-01-16;IMAGE_PNG;99054;48906;37948
4;dc1a976d-3ec5-468a-9e40-78f634109f1f;bypassing overriding;2021-01-16;2021-01-16;IMAGE_JPEG;12932;79453;63483
5;2276d2f5-6e7f-4ce7-872e-4705a69e8346;Tools;2021-01-16;2021-01-16;IMAGE_PNG;68551;55201;64343
6;c395178d-7792-4774-8987-da4510873e3d;Berkshire;2021-01-15;2021-01-15;VIDEO_MP4;94374;66025;79492
7;14d4cd46-2068-4890-b624-fdf5cafe9e44;Ports;2021-01-16;2021-01-16;VIDEO_MP4;39079;68564;13853
8;bc78b9da-1e97-4b45-9516-56e206c35672;Synchronised back-end;2021-01-15;2021-01-16;IMAGE_SVG;7002;41935;78391
9;b2330c1e-765a-4bdb-8924-4c87bd37c2c1;infomediaries open-source protocol;2021-01-15;2021-01-16;IMAGE_GIF;11892;82996;92656
10;4514c94d-9fde-4014-b9ca-f6148a9e095d;Metal Alaska;2021-01-16;2021-01-16;IMAGE_JPEG;52130;51123;19987
